AC_NAME,AC_NO,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,no_install_due,amount_paid,amount_due
NIMAPARA,106,35705.0,4953.0,11064.0,4413.0,15275.0,159855.0,212009.0,319710000.0,424018000.0
NUAPADA,71,37923.0,6343.0,13346.0,2677.0,15557.0,179006.0,225543.0,358012000.0,451086000.0
PADAMPUR,1,39802.0,5333.0,7445.0,6086.0,20938.0,190084.0,233617.0,380168000.0,467234000.0
PALLAHARA,59,33160.0,5606.0,10277.0,1781.0,15496.0,161726.0,199138.0,323452000.0,398276000.0
PARADEEP,101,21792.0,2280.0,8079.0,2276.0,9157.0,91256.0,128276.0,182512000.0,256552000.0
PARALAKHEMUNDI,137,20542.0,2224.0,5802.0,847.0,11669.0,104368.0,121030.0,208736000.0,242060000.0
PARJANGA,58,34732.0,3766.0,8621.0,3911.0,18434.0,162481.0,200202.0,324962000.0,400404000.0
PATKURA,96,36052.0,6132.0,10842.0,2481.0,16597.0,172454.0,212687.0,344908000.0,425374000.0
PATNA (ST),23,48544.0,9383.0,12508.0,3007.0,23646.0,250957.0,290142.0,501914000.0,580284000.0
PATNAGARH,67,48642.0,6533.0,11220.0,3679.0,27210.0,247474.0,280459.0,494948000.0,560918000.0
PHULBANI (ST),84,31156.0,2955.0,5652.0,778.0,21771.0,179337.0,184076.0,358674000.0,368152000.0
PIPILI,110,30215.0,4077.0,9973.0,3113.0,13052.0,135561.0,181598.0,271122000.0,363196000.0
POLOSARA,124,22717.0,3914.0,7331.0,1116.0,10356.0,113880.0,137710.0,227760000.0,275420000.0
POTANGI (ST),145,25938.0,4622.0,7769.0,1823.0,11724.0,123276.0,151471.0,246552000.0,302942000.0
PURI,107,9567.0,990.0,3375.0,638.0,4564.0,44033.0,56902.0,88066000.0,113804000.0
RAGHUNATHPALI (SC),11,2302.0,491.0,320.0,87.0,1404.0,13415.0,13715.0,26830000.0,27430000.0
RAIRAKHOL,18,30135.0,6696.0,8915.0,1405.0,13119.0,153123.0,186360.0,306246000.0,372720000.0
RAIRANGPUR (ST),28,36137.0,6973.0,8144.0,1717.0,19303.0,193588.0,213108.0,387176000.0,426216000.0
RAJGANGPUR (ST),13,27524.0,4822.0,4361.0,1441.0,16900.0,154736.0,160951.0,309472000.0,321902000.0
RAJNAGAR,99,27702.0,3649.0,8030.0,3996.0,12027.0,121625.0,162896.0,243250000.0,325792000.0
RANPUR,119,22457.0,3799.0,7221.0,1808.0,9629.0,107060.0,136509.0,214120000.0,273018000.0
RAYAGADA(ST),140,20335.0,2758.0,6327.0,806.0,10444.0,98014.0,115500.0,196028000.0,231000000.0
REMUNA(SC),39,21628.0,2690.0,7096.0,1473.0,10369.0,101834.0,127067.0,203668000.0,254134000.0
RENGALI (SC),16,15454.0,2932.0,3971.0,850.0,7701.0,81782.0,94715.0,163564000.0,189430000.0
SALIPUR,94,27121.0,4146.0,8148.0,2321.0,12506.0,125505.0,157132.0,251010000.0,314264000.0
SANAKHEMUNDI,130,23793.0,2824.0,7629.0,3703.0,9637.0,101612.0,140142.0,203224000.0,280284000.0
