,OBJECTID_1,OBJECTID,S_CODE,S_NAME,D_CODE,D_NAME,AC_NAME,PC_NO,PC_NAME,AC_NO,Shape_Length,Shape_Area,OBJECTID_2,S_CODE_2,S_NAME_2,D_CODE_2,D_NAME_2,PS_CODE,PS_NAME,B_CODE,B_NAME,TRU,AC_NAME_2,PC_NAME_2,GP_CODE,GP_NAME,V_CODE,V_NAME,CLASS,NO_HH,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,Shape_Length_2,Shape_Area_2,PM_Kisan_merged_vill_name,PM_Kisan_merged_vill_code,PM_Kisan_merged_reg_count,PM_Kisan_merged_full_pay_count,PM_Kisan_merged_part_pay_count,PM_Kisan_merged_no_pay_count,PM_Kisan_merged_extra_pay_count,PM_Kisan_merged_no_install_paid,PM_Kisan_merged_no_install_due,PM_Kisan_merged_amount_paid,PM_Kisan_merged_amount_due
17804,53,54,21,ODISHA,380,JAGATSINGHPUR,BALIKUDA-ERASAMA,16,JAGATSINGHPUR (SC),103,1.75196865933123,0.0593792019372189,24373.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2943.0,BALIKUDA P.S,3386.0,BALIKUDA,UI,BALIKUDA-ERASAMA,JAGATSINGHPUR (SC),118060.0,MARICHPUR,398409.0,NADIAKHIA,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984481312246177,0.0002968561573227,,,,,,,,,,,
18090,55,56,21,ODISHA,380,JAGATSINGHPUR,PARADEEP,16,JAGATSINGHPUR (SC),101,1.34125576174146,0.0292429233397859,25538.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2937.0,ABHYACHANDPUR P.S,3390.0,KUJANG,RURAL,PARADEEP,JAGATSINGHPUR (SC),118164.0,NUAGARRH,397141.0,UDAYACHANDRAPUR,VILLAGE,50.0,200.0,104.0,96.0,121.0,71.0,50.0,79.0,33.0,46.0,0.0716250487533436,0.0003212525124954,,,,,,,,,,,
18229,55,56,21,ODISHA,380,JAGATSINGHPUR,PARADEEP,16,JAGATSINGHPUR (SC),101,1.34125576174146,0.0292429233397859,25587.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2939.0,TIRTOL P.S,3393.0,TIRTOL,RURAL,PARADEEP,JAGATSINGHPUR (SC),118230.0,SAMANTARAPUR,397527.0,KULASAMANTARAPUR,VILLAGE,244.0,1009.0,517.0,492.0,833.0,443.0,390.0,176.0,74.0,102.0,0.0192686558304118,1.70131897025624e-05,,,,,,,,,,,
18374,56,57,21,ODISHA,380,JAGATSINGHPUR,TIRTOL (SC),16,JAGATSINGHPUR (SC),102,1.63317455256481,0.0341836243703508,24842.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2940.0,JAGATSINGHAPUR P.S,3392.0,RAGHUNATHPUR,RURAL,TIRTOL (SC),JAGATSINGHPUR (SC),118196.0,JAGANNATHPUR,397787.0,JAGANATHPUR,VILLAGE,991.0,3849.0,1980.0,1869.0,3127.0,1714.0,1413.0,722.0,266.0,456.0,0.0520917370636319,0.0001507975921369,,,,,,,,,,,
18506,56,57,21,ODISHA,380,JAGATSINGHPUR,TIRTOL (SC),16,JAGATSINGHPUR (SC),102,1.63317455256481,0.0341836243703508,25586.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2940.0,JAGATSINGHAPUR P.S,3392.0,RAGHUNATHPUR,RURAL,TIRTOL (SC),JAGATSINGHPUR (SC),118207.0,TARIKUNDA,397852.0,HARIRAMPATNA,VILLAGE,161.0,803.0,425.0,378.0,646.0,356.0,290.0,157.0,69.0,88.0,0.028914547648847,4.97503034366195e-05,,,,,,,,,,,
22435,73,74,21,ODISHA,383,DHENKANAL,DHENKANAL,9,DHENKANAL,55,2.28142432146739,0.0891341936417345,51308.0,21.0,ODISHA,383.0,DHENKANAL,2991.0,GANDIA P.S,3351.0,GONDIA,RURAL,DHENKANAL,DHENKANAL,117298.0,MANDAR A,402302.0,TULASIPASI,VILLAGE,103.0,344.0,190.0,154.0,267.0,159.0,108.0,77.0,31.0,46.0,0.0562022326512088,0.0001388182329606,Tulasipasi - (402302),402302.0,28.0,3.0,13.0,1.0,11.0,118.0,174.0,236000.0,348000.0
23591,76,77,21,ODISHA,383,DHENKANAL,PARJANGA,9,DHENKANAL,58,2.61328944500346,0.13602866601562,2205.0,21.0,ODISHA,383.0,DHENKANAL,2987.0,PARJANG P.S,3356.0,PARJANG,RURAL,PARJANGA,DHENKANAL,117416.0,CHANDPUR,402302.0,TULASIPASI,VILLAGE,103.0,344.0,190.0,154.0,267.0,159.0,108.0,77.0,31.0,46.0,0.139232914574214,0.0004764986754905,Tulasipasi - (402302),402302.0,28.0,3.0,13.0,1.0,11.0,118.0,174.0,236000.0,348000.0
24785,80,82,21,ODISHA,384,ANUGUL,PALLAHARA,9,DHENKANAL,59,3.20327936314114,0.150393653165546,10675.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403396.0,RADA,VILLAGE,62.0,310.0,168.0,142.0,88.0,58.0,30.0,222.0,110.0,112.0,0.085745791564745,0.0003450769065052,,,,,,,,,,,
24786,80,82,21,ODISHA,384,ANUGUL,PALLAHARA,9,DHENKANAL,59,3.20327936314114,0.150393653165546,10117.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403397.0,BARADIHA,VILLAGE,56.0,321.0,171.0,150.0,82.0,61.0,21.0,239.0,110.0,129.0,0.110136494730174,0.0004677910141053,,,,,,,,,,,
24790,80,82,21,ODISHA,384,ANUGUL,PALLAHARA,9,DHENKANAL,59,3.20327936314114,0.150393653165546,10342.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403394.0,TANUGOLA,VILLAGE,86.0,419.0,207.0,212.0,110.0,68.0,42.0,309.0,139.0,170.0,0.140433952558771,0.0008287330717426,,,,,,,,,,,
