,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,area_AC,OBJECTID_2,S_CODE,S_NAME,D_CODE,D_NAME,PS_CODE,PS_NAME,B_CODE,B_NAME,TRU,AC_NAME_2,PC_NAME_2,GP_CODE,GP_NAME,V_CODE,V_NAME,CLASS,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3,MARGWORK_4,MARGWORK_5,MARG_CL_3_,MARG_CL_31,MARG_CL_32,MARG_AL_3_,MARG_AL_31,MARG_AL_32,MARG_HH_3_,MARG_HH_31,MARG_HH_32,MARG_OT_3_,MARG_OT_31,MARG_OT_32,MARGWORK_0,MARGWORK_1,MARGWORK_2,MARG_CL_0_,MARG_CL_01,MARG_CL_02,MARG_AL_0_,MARG_AL_01,MARG_AL_02,MARG_HH_0_,MARG_HH_01,MARG_HH_02,MARG_OT_0_,MARG_OT_01,MARG_OT_02,NON_WORK_P,NON_WORK_M,NON_WORK_F,Shape_Length,Shape_Area_2,PM_Kisan_merged_Shape_Length,PM_Kisan_merged_Shape_Area,PM_Kisan_merged_state_name,PM_Kisan_merged_state_code,PM_Kisan_merged_dist_name,PM_Kisan_merged_dist_code,PM_Kisan_merged_sub_name,PM_Kisan_merged_sub_code,PM_Kisan_merged_vill_name,PM_Kisan_merged_vill_code,PM_Kisan_merged_reg_count,PM_Kisan_merged_full_pay_count,PM_Kisan_merged_part_pay_count,PM_Kisan_merged_no_pay_count,PM_Kisan_merged_extra_pay_count,PM_Kisan_merged_no_install_paid,PM_Kisan_merged_no_install_due,PM_Kisan_merged_amount_paid,PM_Kisan_merged_amount_due,Area_village
10929,,,,,,,-1,0,-1,,,6,21,ORISSA,8,BALESHWAR,39,REMUNA (SC),6,BALASORE,2106,,1.96095262952,0.03895355793,447049181.884,22177.0,21.0,ODISHA,377.0,BALESWAR,2901.0,BAMPADA P.S,3670.0,REMUNA,RURAL,REMUNA(SC),BALASORE,116268.0,BIRUHAN,392548.0,SOMNATHAPUR,VILLAGE,191.0,815.0,431.0,384.0,69.0,40.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,362.0,291.0,162.0,69.0,93.0,234.0,221.0,13.0,228.0,215.0,13.0,52.0,52.0,0.0,123.0,121.0,2.0,5.0,2.0,3.0,48.0,40.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,581.0,210.0,371.0,0.0844106835551295,0.0003361226384968,0.0241386695576338,2.62316431466288e-05,ODISHA,21.0,BALESHWAR,346.0,Basta,2895.0,Somnathapur - (392548),392548.0,61.0,2.0,12.0,2.0,45.0,342.0,358.0,"6,84,000","7,16,000",3856917.881
10988,,,,,,,-1,0,-1,,,6,21,ORISSA,8,BALESHWAR,39,REMUNA (SC),6,BALASORE,2106,,1.96095262952,0.03895355793,447049181.884,22715.0,21.0,ODISHA,377.0,BALESWAR,2897.0,BALESHWAR SADAR P.S,3299.0,BALESWAR SADAR,RURAL,REMUNA(SC),BALASORE,116080.0,PADAMPUR,392853.0,PURASTAMPUR,VILLAGE,90.0,369.0,195.0,174.0,34.0,19.0,15.0,5.0,2.0,3.0,23.0,15.0,8.0,297.0,164.0,133.0,72.0,31.0,41.0,118.0,109.0,9.0,117.0,108.0,9.0,16.0,16.0,0.0,19.0,16.0,3.0,0.0,0.0,0.0,82.0,76.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,86.0,165.0,0.0299438759495277,2.55714918947712e-05,0.0299438759495277,2.55714918947712e-05,ODISHA,21.0,BALESHWAR,346.0,Baleshwar Sadar,2897.0,Purastampur - (392853),392853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,293565.608
11363,,,,,,,-1,0,-1,,,9,21,ORISSA,15,ANUGUL  *,59,PALLAHARA,9,DHENKANAL,2109,,2.99051146901,0.15045544241,1728420324.831,9890.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403398.0,BARUNDIHA,VILLAGE,34.0,174.0,87.0,87.0,38.0,13.0,25.0,0.0,0.0,0.0,146.0,72.0,74.0,31.0,27.0,4.0,143.0,60.0,83.0,106.0,53.0,53.0,21.0,18.0,3.0,11.0,11.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,85.0,35.0,50.0,19.0,16.0,3.0,57.0,18.0,39.0,1.0,1.0,0.0,8.0,0.0,8.0,85.0,35.0,50.0,19.0,16.0,3.0,57.0,18.0,39.0,1.0,1.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,34.0,34.0,0.0695124291973519,0.0002636015051686,,,,,,,,,,,,,,,,,,,,3020958.545
11415,,,,,,,-1,0,-1,,,9,21,ORISSA,15,ANUGUL  *,59,PALLAHARA,9,DHENKANAL,2109,,2.99051146901,0.15045544241,1728420324.831,10117.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403397.0,BARADIHA,VILLAGE,56.0,321.0,171.0,150.0,64.0,35.0,29.0,0.0,0.0,0.0,299.0,159.0,140.0,82.0,61.0,21.0,239.0,110.0,129.0,181.0,95.0,86.0,60.0,36.0,24.0,9.0,8.0,1.0,48.0,28.0,20.0,1.0,0.0,1.0,2.0,0.0,2.0,121.0,59.0,62.0,69.0,33.0,36.0,46.0,23.0,23.0,0.0,0.0,0.0,6.0,3.0,3.0,44.0,20.0,24.0,5.0,2.0,3.0,34.0,16.0,18.0,0.0,0.0,0.0,5.0,2.0,3.0,77.0,39.0,38.0,64.0,31.0,33.0,12.0,7.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,140.0,76.0,64.0,0.110136494730174,0.0004677910141053,,,,,,,,,,,,,,,,,,,,5361685.49
11416,,,,,,,-1,0,-1,,,9,21,ORISSA,15,ANUGUL  *,59,PALLAHARA,9,DHENKANAL,2109,,2.99051146901,0.15045544241,1728420324.831,10118.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403399.0,SALEI,VILLAGE,97.0,473.0,223.0,250.0,86.0,41.0,45.0,0.0,0.0,0.0,473.0,223.0,250.0,71.0,48.0,23.0,402.0,175.0,227.0,215.0,111.0,104.0,89.0,82.0,7.0,1.0,1.0,0.0,87.0,80.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,126.0,29.0,97.0,2.0,0.0,2.0,121.0,27.0,94.0,0.0,0.0,0.0,3.0,2.0,1.0,124.0,28.0,96.0,1.0,0.0,1.0,120.0,26.0,94.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,112.0,146.0,0.114575623740655,0.0006453834997839,,,,,,,,,,,,,,,,,,,,7396353.715
11417,,,,,,,-1,0,-1,,,9,21,ORISSA,15,ANUGUL  *,59,PALLAHARA,9,DHENKANAL,2109,,2.99051146901,0.15045544241,1728420324.831,10119.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403393.0,KHADAKA,VILLAGE,69.0,330.0,157.0,173.0,79.0,38.0,41.0,0.0,0.0,0.0,327.0,155.0,172.0,50.0,35.0,15.0,280.0,122.0,158.0,163.0,78.0,85.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,161.0,77.0,84.0,21.0,11.0,10.0,139.0,65.0,74.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,6.0,3.0,0.0,0.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,152.0,71.0,81.0,21.0,11.0,10.0,131.0,60.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,79.0,88.0,0.112635367280486,0.00067848307183,,,,,,,,,,,,,,,,,,,,7778948.927
11478,,,,,,,-1,0,-1,,,9,21,ORISSA,15,ANUGUL  *,59,PALLAHARA,9,DHENKANAL,2109,,2.99051146901,0.15045544241,1728420324.831,10342.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403394.0,TANUGOLA,VILLAGE,86.0,419.0,207.0,212.0,92.0,47.0,45.0,0.0,0.0,0.0,392.0,190.0,202.0,110.0,68.0,42.0,309.0,139.0,170.0,235.0,113.0,122.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,232.0,113.0,119.0,1.0,1.0,0.0,226.0,111.0,115.0,3.0,0.0,3.0,2.0,1.0,1.0,39.0,16.0,23.0,0.0,0.0,0.0,36.0,15.0,21.0,1.0,0.0,1.0,2.0,1.0,1.0,193.0,97.0,96.0,1.0,1.0,0.0,190.0,96.0,94.0,2.0,0.0,2.0,0.0,0.0,0.0,184.0,94.0,90.0,0.140433952558771,0.0008287330717426,,,,,,,,,,,,,,,,,,,,9501316.611
11544,,,,,,,-1,0,-1,,,9,21,ORISSA,15,ANUGUL  *,59,PALLAHARA,9,DHENKANAL,2109,,2.99051146901,0.15045544241,1728420324.831,10675.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403396.0,RADA,VILLAGE,62.0,310.0,168.0,142.0,61.0,31.0,30.0,0.0,0.0,0.0,306.0,165.0,141.0,88.0,58.0,30.0,222.0,110.0,112.0,161.0,87.0,74.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,2.0,155.0,83.0,72.0,68.0,64.0,4.0,87.0,19.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,83.0,72.0,68.0,64.0,4.0,87.0,19.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,81.0,68.0,0.085745791564745,0.0003450769065052,,,,,,,,,,,,,,,,,,,,3955642.702
12832,,,,,,,-1,0,-1,,,3,21,ORISSA,3,SAMBALPUR,17,SAMBALPUR,3,SAMBALPUR,2103,,0.62079737593,0.01002401674,115016812.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13237,,,,,,,-1,0,-1,,,3,21,ORISSA,3,SAMBALPUR,18,RAIRAKHOL,3,SAMBALPUR,2103,,3.34658950263,0.28004917935,3219325088.888,38892.0,21.0,ODISHA,372.0,SAMBALPUR,2793.0,KISINDA P.S,3564.0,NAKTIDEUL,RURAL,RAIRAKHOL,SAMBALPUR,121391.0,PANIMURA,382097.0,BELBAHALI,VILLAGE,5.0,25.0,10.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,25.0,10.0,15.0,18.0,8.0,10.0,7.0,2.0,5.0,18.0,8.0,10.0,5.0,4.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,9.0,0.0,0.0,0.0,13.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,0.0442195953590245,0.0001087003409584,,,,,,,,,,,,,,,,,,,,1249765.659
