OBJECTID_1,OBJECTID,S_CODE,S_NAME,D_CODE,D_NAME,AC_NAME,PC_NO,PC_NAME,AC_NO,Shape_Length,Shape_Area
"69","70","21",ODISHA,"382",JAJAPUR,DHARAMASALA,"8",JAJPUR (SC),"51",1.36754083007764,0.0335699289714423
"70","71","21",ODISHA,"382",JAJAPUR,JAJPUR,"8",JAJPUR (SC),"52",1.26629251095118,0.0246036050282823
"71","72","21",ODISHA,"382",JAJAPUR,KOREI,"8",JAJPUR (SC),"53",1.34572146493371,0.0355979025725542
"72","73","21",ODISHA,"382",JAJAPUR,SUKINDA,"8",JAJPUR (SC),"54",1.93095625378515,0.0740143636592563
"73","74","21",ODISHA,"383",DHENKANAL,DHENKANAL,"9",DHENKANAL,"55",2.28142432146739,0.0891341936417345
"74","75","21",ODISHA,"383",DHENKANAL,HINDOL (SC),"9",DHENKANAL,"56",2.02298290950465,0.0995103348721603
"75","76","21",ODISHA,"383",DHENKANAL,KAMAKHYANAGAR,"9",DHENKANAL,"57",2.16623677846838,0.0630625429122953
"76","77","21",ODISHA,"383",DHENKANAL,PARJANGA,"9",DHENKANAL,"58",2.61328944500346,0.13602866601562
"77","79","21",ODISHA,"384",ANUGUL,ANUGUL,"9",DHENKANAL,"61",1.67425287789445,0.0531687033421955
"78","80","21",ODISHA,"384",ANUGUL,ATHAMALLIK,"3",SAMBALPUR,"63",2.73240322687438,0.22043844837887
"79","81","21",ODISHA,"384",ANUGUL,CHHENDIPADA(SC),"3",SAMBALPUR,"62",2.24147892294102,0.0904405408832861
"80","82","21",ODISHA,"384",ANUGUL,PALLAHARA,"9",DHENKANAL,"59",3.20327936314114,0.150393653165546
"81","83","21",ODISHA,"384",ANUGUL,TALCHER,"9",DHENKANAL,"60",1.33004646305781,0.0389391235307941
"82","84","21",ODISHA,"385",NAYAGARH,DASPALLA(SC),"13",KANDHAMAL,"121",2.850649454412,0.167020708490213
"83","85","21",ODISHA,"385",NAYAGARH,KHANDAPADA,"14",CUTTACK,"120",1.24399914665236,0.0526557846398202
